,address,coordinates
6100,"город Москва, Профсоюзная улица, дом 56",37.55248 55.670021
6101,"город Москва, Профсоюзная улица, дом 56",37.55248 55.670021
6102,"город Москва, Профсоюзная улица, дом 56",37.55248 55.670021
6103,"город Москва, Профсоюзная улица, дом 56",37.55248 55.670021
6104,"город Москва, Профсоюзная улица, дом 56",37.55248 55.670021
6105,"город Москва, Профсоюзная улица, дом 56",37.55248 55.670021
6106,"город Москва, Профсоюзная улица, дом 56",37.55248 55.670021
6107,"город Москва, Профсоюзная улица, дом 56",37.55248 55.670021
6108,"город Москва, Профсоюзная улица, дом 56",37.55248 55.670021
6109,"город Москва, Профсоюзная улица, дом 56",37.55248 55.670021
6110,"город Москва, Профсоюзная улица, дом 61А",37.541503 55.656031
6111,"город Москва, Профсоюзная улица, дом 61А",37.541503 55.656031
6112,"город Москва, Профсоюзная улица, дом 61А",37.541503 55.656031
6113,"город Москва, Профсоюзная улица, дом 61А",37.541503 55.656031
6114,"город Москва, Профсоюзная улица, дом 61А",37.541503 55.656031
6115,"город Москва, Профсоюзная улица, дом 61А",37.541503 55.656031
6116,"город Москва, Профсоюзная улица, дом 61А",37.541503 55.656031
6117,"город Москва, Профсоюзная улица, дом 61А",37.541503 55.656031
6118,"город Москва, Профсоюзная улица, дом 61А",37.541503 55.656031
6130,"город Москва, Профсоюзная улица, дом 126, строение 7",37.518587 55.633592
6131,"город Москва, Профсоюзная улица, дом 102, строение 1",37.526232 55.643658
6145,"город Москва, Профсоюзная улица, дом 45А",37.55187 55.666878
6158,"город Москва, Профсоюзная улица, дом 129А",37.507484 55.61813
6159,"город Москва, Профсоюзная улица, дом 129А",37.507484 55.61813
6160,"город Москва, Профсоюзная улица, дом 129А",37.507484 55.61813
6161,"город Москва, Профсоюзная улица, дом 129А",37.507484 55.61813
6162,"город Москва, Профсоюзная улица, дом 129А",37.507484 55.61813
6163,"город Москва, Профсоюзная улица, дом 129А",37.507484 55.61813
6164,"город Москва, Профсоюзная улица, дом 129А",37.507484 55.61813
6173,"город Москва, Профсоюзная улица, дом 21А",37.561275 55.675514
6177,"город Москва, Ленинский проспект, дом 109",37.511445 55.663842
6178,"город Москва, Ленинский проспект, дом 109",37.511445 55.663842
6179,"город Москва, Ленинский проспект, дом 109",37.511445 55.663842
6180,"город Москва, Ленинский проспект, дом 109",37.511445 55.663842
6181,"город Москва, Ленинский проспект, дом 109",37.511445 55.663842
6182,"город Москва, Ленинский проспект, дом 109",37.511445 55.663842
6183,"город Москва, Ленинский проспект, дом 109",37.511445 55.663842
6184,"город Москва, Ленинский проспект, дом 109",37.511445 55.663842
6185,"город Москва, Ленинский проспект, дом 109",37.511445 55.663842
6186,"город Москва, Ленинский проспект, дом 109",37.511445 55.663842
6187,"город Москва, Ленинский проспект, дом 109",37.511445 55.663842
6189,"город Москва, Профсоюзная улица, дом 25А",37.564985 55.674326
6190,"город Москва, Профсоюзная улица, дом 118",37.521129 55.636306
6191,"город Москва, Профсоюзная улица, дом 118",37.521129 55.636306
6256,"город Москва, Варшавское шоссе, дом 206",37.581721 55.537088
6298,"город Москва, Профсоюзная улица, дом 78, строение 1",37.540641 55.659124
6302,"город Москва, Профсоюзная улица, дом 64",37.547405 55.666482
6303,"город Москва, Профсоюзная улица, дом 64",37.547405 55.666482
6353,"город Москва, проспект Вернадского, дом 121, корпус 1",37.481909 55.657189
6354,"город Москва, проспект Вернадского, дом 121, корпус 1",37.481909 55.657189
6405,"город Москва, проспект Вернадского, дом 88",37.476052 55.657931
6406,"город Москва, проспект Вернадского, дом 88",37.476052 55.657931
6407,"город Москва, проспект Вернадского, дом 88",37.476052 55.657931
6415,"город Москва, проспект Вернадского, дом 14А",37.506882 55.677737
6416,"город Москва, проспект Вернадского, дом 14А",37.506882 55.677737
6417,"город Москва, проспект Вернадского, дом 14А",37.506882 55.677737
6418,"город Москва, проспект Вернадского, дом 14А",37.506882 55.677737
6419,"город Москва, проспект Вернадского, дом 14А",37.506882 55.677737
6430,"город Москва, проспект Вернадского, дом 86Д",37.480256 55.660754
6433,"город Москва, проспект Вернадского, дом 76А",37.493632 55.670133
6436,"город Москва, проспект Вернадского, дом 105, корпус 3",37.484864 55.663806
6437,"город Москва, проспект Вернадского, дом 105, корпус 3",37.484864 55.663806
6438,"город Москва, Ленинский проспект, дом 146",37.497656 55.657408
6439,"город Москва, Ленинский проспект, дом 146",37.497656 55.657408
6440,"город Москва, Ленинский проспект, дом 146",37.497656 55.657408
6441,"город Москва, Ленинский проспект, дом 146",37.497656 55.657408
6442,"город Москва, Ленинский проспект, дом 146",37.497656 55.657408
6443,"город Москва, проспект Вернадского, владение 6, строение 3",37.533921 55.692714
6468,"город Москва, проспект Вернадского, дом 86Б",37.481469 55.661684
6470,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6471,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6472,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6473,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6474,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6475,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6476,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6477,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6478,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6479,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6480,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6481,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6482,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6483,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6484,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6485,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6486,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6487,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6488,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6489,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6490,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6491,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6492,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6493,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6494,"город Москва, проспект Вернадского, дом 6",37.527956 55.691958
6553,"город Москва, Кутузовский проспект, дом 36, строение 10",37.525396 55.74185
6566,"город Москва, Кутузовский проспект, дом 12, строение 1",37.5592 55.750788
6567,"город Москва, Кутузовский проспект, дом 12, строение 1",37.5592 55.750788
6568,"город Москва, Кутузовский проспект, дом 12, строение 1",37.5592 55.750788
6569,"город Москва, Кутузовский проспект, дом 12, строение 3",37.556379 55.750515
6570,"город Москва, Кутузовский проспект, дом 12, строение 3",37.556379 55.750515
6621,"город Москва, Кутузовский проспект, дом 34",37.528963 55.740517
6683,"город Москва, Кутузовский проспект, дом 48",37.487353 55.731713
6684,"город Москва, Кутузовский проспект, дом 48",37.487353 55.731713
6685,"город Москва, Кутузовский проспект, дом 48",37.487353 55.731713
6686,"город Москва, Кутузовский проспект, дом 48",37.487353 55.731713
6687,"город Москва, Кутузовский проспект, дом 48",37.487353 55.731713
6688,"город Москва, Кутузовский проспект, дом 48",37.487353 55.731713
6689,"город Москва, Кутузовский проспект, дом 48",37.487353 55.731713
6690,"город Москва, Кутузовский проспект, дом 48",37.487353 55.731713
6691,"город Москва, Кутузовский проспект, дом 48",37.487353 55.731713
6692,"город Москва, Кутузовский проспект, дом 48",37.487353 55.731713
6693,"город Москва, Кутузовский проспект, дом 24, сооружение 1",37.545267 55.744526
6725,"город Москва, Кутузовский проспект, дом 2/1, строение 6",37.566764 55.752323
6726,"город Москва, Кутузовский проспект, дом 2/1, строение 6",37.566764 55.752323
6727,"город Москва, Кутузовский проспект, дом 2/1, строение 6",37.566764 55.752323
6728,"город Москва, Кутузовский проспект, дом 2/1, строение 6",37.566764 55.752323
6729,"город Москва, Кутузовский проспект, дом 2/1, строение 6",37.566764 55.752323
6730,"город Москва, Кутузовский проспект, дом 2/1, строение 6",37.566764 55.752323
6731,"город Москва, Кутузовский проспект, дом 2/1, строение 6",37.566764 55.752323
6732,"город Москва, Кутузовский проспект, дом 2/1, строение 6",37.566764 55.752323
6733,"город Москва, Кутузовский проспект, дом 2/1, строение 6",37.566764 55.752323
6734,"город Москва, Кутузовский проспект, дом 2/1, строение 6",37.566764 55.752323
6735,"город Москва, Кутузовский проспект, дом 2/1, строение 6",37.566764 55.752323
6919,"город Москва, Ленинградский проспект, дом 15, строение 1",37.572082 55.781539
6920,"город Москва, Ленинградский проспект, дом 15, строение 2",37.571929 55.781858
6994,"город Москва, Ленинградский проспект, дом 80, корпус 17",37.511508 55.807951
6996,"город Москва, Ленинградский проспект, дом 3, строение 1",37.578415 55.777565
6997,"город Москва, Ленинградский проспект, дом 74, строение 8",37.517787 55.806788
7002,"город Москва, Ленинградский проспект, дом 80, корпус 11",37.511086 55.808786
7021,"город Москва, Ленинградский проспект, дом 76А",37.515155 55.805837
7035,"город Москва, Ленинградский проспект, дом 62А",37.532098 55.801835
7036,"город Москва, Ленинградский проспект, дом 62А",37.532098 55.801835
7038,"город Москва, Ленинградский проспект, дом 39, строение 73",37.541198 55.794609
7041,"город Москва, Ленинградский проспект, дом 37Б",37.544629 55.790221
7049,"город Москва, Ленинградский проспект, дом 24А, строение 4",37.573771 55.78322
7055,"город Москва, Ходынский бульвар, дом 7",37.531702 55.784369
7056,"город Москва, Ленинградский проспект, дом 74А",37.516925 55.80694
7057,"город Москва, Ленинградский проспект, дом 74А",37.516925 55.80694
7098,"город Москва, Ленинградский проспект, дом 31А, строение 1",37.559541 55.784233
7099,"город Москва, Ленинградский проспект, дом 31А, строение 1",37.559541 55.784233
7100,"город Москва, Ленинградский проспект, дом 31А, строение 1",37.559541 55.784233
7101,"город Москва, Ленинградский проспект, дом 31А, строение 1",37.559541 55.784233
7102,"город Москва, Ленинградский проспект, дом 31А, строение 1",37.559541 55.784233
7103,"город Москва, Ленинградский проспект, дом 31А, строение 1",37.559541 55.784233
7104,"город Москва, Ленинградский проспект, дом 31А, строение 1",37.559541 55.784233
7105,"город Москва, Ленинградский проспект, дом 31А, строение 1",37.559541 55.784233
7106,"город Москва, Ленинградский проспект, дом 31А, строение 1",37.559541 55.784233
7107,"город Москва, Ленинградский проспект, дом 31А, строение 1",37.559541 55.784233
7108,"город Москва, Ленинградский проспект, дом 31А, строение 1",37.559541 55.784233
7112,"город Москва, Ленинградский проспект, дом 40",37.552184 55.793024
7113,"город Москва, Ленинградский проспект, дом 40",37.552184 55.793024
7130,"город Москва, Ленинградский проспект, дом 72, корпус 4",37.519863 55.805245
7131,"город Москва, Ленинградский проспект, дом 72, корпус 4",37.519863 55.805245
7132,"город Москва, Ленинградский проспект, дом 72, корпус 2",37.521327 55.805528
7133,"город Москва, Ленинградский проспект, дом 72, корпус 1",37.520339 55.805791
7134,"город Москва, Ленинградский проспект, дом 72, корпус 1",37.520339 55.805791
7136,"город Москва, Ленинградский проспект, дом 37, строение 16",37.546731 55.793181
7281,"город Москва, Каширское шоссе, дом 3, корпус 1, строение 4",37.628801 55.671473
7283,"город Москва, Ленинский проспект, дом 31, корпус 1, строение 1",37.589877 55.713212
7327,"город Москва, Варшавское шоссе, дом 33",37.622729 55.692389
7374,"город Москва, Каширское шоссе, дом 33",37.670339 55.646563
7375,"город Москва, Каширское шоссе, дом 33",37.670339 55.646563
7376,"город Москва, Варшавское шоссе, дом 93",37.620698 55.646894
7377,"город Москва, Каширское шоссе, дом 23, строение 5",37.642546 55.659805
7384,"город Москва, Варшавское шоссе, дом 125Ж, корпус 5",37.621525 55.622497
7395,"город Москва, Варшавское шоссе, дом 132А",37.61088 55.616747
7415,"город Москва, Варшавское шоссе, дом 26",37.621947 55.684503
7416,"город Москва, Варшавское шоссе, дом 26",37.621947 55.684503
7431,"город Москва, Каширское шоссе, дом 61/15",37.718112 55.612212
7436,"город Москва, Варшавское шоссе, дом 125, строение 3",37.621723 55.62945
7441,"город Москва, Каширское шоссе, дом 108, корпус 1",37.716495 55.609299
7459,"город Москва, Варшавское шоссе, дом 81, корпус 2",37.621202 55.656539
7461,"город Москва, Каширское шоссе, дом 49",37.68659 55.640731
7472,"город Москва, Варшавское шоссе, дом 30, корпус 2",37.621211 55.682524
7478,"город Москва, Каширское шоссе, дом 1, строение 3",37.628208 55.674834
7479,"город Москва, Варшавское шоссе, владение 129Г",37.611455 55.611806
7488,"город Москва, Каширское шоссе, дом 16, корпус 1",37.633068 55.661476
7494,"город Москва, Каширское шоссе, дом 61, корпус 3А",37.715803 55.617342
7495,"город Москва, Каширское шоссе, дом 61, корпус 3А",37.715803 55.617342
7496,"город Москва, Каширское шоссе, дом 61, корпус 3А",37.715803 55.617342
7497,"город Москва, Каширское шоссе, дом 61, корпус 3А",37.715803 55.617342
7498,"город Москва, Каширское шоссе, дом 61, корпус 3А",37.715803 55.617342
7499,"город Москва, Каширское шоссе, дом 61, корпус 3А",37.715803 55.617342
7508,"город Москва, Каширское шоссе, владение 36А",37.658239 55.649936
7532,"город Москва, Варшавское шоссе, дом 87Б",37.620698 55.653644
7533,"город Москва, Варшавское шоссе, дом 87Б",37.620698 55.653644
7558,"город Москва, Варшавское шоссе, дом 153",37.597163 55.577546
7559,"город Москва, Каширское шоссе, дом 12А",37.628711 55.665782
7561,"город Москва, Варшавское шоссе, дом 135Б",37.602885 55.596335
7563,"город Москва, Варшавское шоссе, дом 97",37.624247 55.633221
7564,"город Москва, Варшавское шоссе, дом 97",37.624247 55.633221
7565,"город Москва, Варшавское шоссе, дом 97",37.624247 55.633221
7583,"город Москва, Варшавское шоссе, дом 122А",37.616521 55.629562
7584,"город Москва, Варшавское шоссе, дом 47, корпус 4",37.630122 55.679133
7592,"город Москва, Варшавское шоссе, дом 95, корпус 1",37.621938 55.640274
7593,"город Москва, Варшавское шоссе, дом 95, корпус 1",37.621938 55.640274
7594,"город Москва, Варшавское шоссе, дом 95, корпус 1",37.621938 55.640274
7595,"город Москва, Варшавское шоссе, дом 95, корпус 1",37.621938 55.640274
7596,"город Москва, Ленинский проспект, дом 15А",37.60072 55.720905
7597,"город Москва, Ленинский проспект, дом 15А",37.60072 55.720905
7603,"город Москва, Варшавское шоссе, дом 127",37.616396 55.621206
7614,"город Москва, Варшавское шоссе, дом 71, корпус 3",37.62148 55.661059
7636,"город Москва, Варшавское шоссе, дом 118, корпус 1",37.618022 55.631768
7653,"город Москва, Каширское шоссе, дом 19, корпус 2",37.63464 55.664588
7654,"город Москва, Каширское шоссе, дом 19, корпус 2",37.63464 55.664588
7655,"город Москва, Каширское шоссе, дом 19, корпус 2",37.63464 55.664588
7656,"город Москва, Каширское шоссе, дом 19, корпус 2",37.63464 55.664588
7657,"город Москва, Каширское шоссе, дом 19, корпус 2",37.63464 55.664588
7675,"город Москва, Варшавское шоссе, дом 152А",37.599157 55.594509
7680,"город Москва, Каширское шоссе, дом 14",37.627193 55.663745
7681,"город Москва, Каширское шоссе, дом 14",37.627193 55.663745
7682,"город Москва, Каширское шоссе, дом 14",37.627193 55.663745
7683,"город Москва, Каширское шоссе, дом 14",37.627193 55.663745
7684,"город Москва, Каширское шоссе, дом 14",37.627193 55.663745
7685,"город Москва, Каширское шоссе, дом 14",37.627193 55.663745
7686,"город Москва, Каширское шоссе, дом 14",37.627193 55.663745
7687,"город Москва, Каширское шоссе, дом 14",37.627193 55.663745
7695,"город Москва, Варшавское шоссе, дом 9, строение 1",37.625594 55.699467
7696,"город Москва, Варшавское шоссе, дом 9, строение 1",37.625594 55.699467
7697,"город Москва, Варшавское шоссе, дом 9, строение 1",37.625594 55.699467
7698,"город Москва, Варшавское шоссе, дом 9, строение 1",37.625594 55.699467
7699,"город Москва, Варшавское шоссе, дом 86",37.618812 55.650241
7700,"город Москва, Варшавское шоссе, дом 86",37.618812 55.650241
7702,"город Москва, Варшавское шоссе, дом 160",37.59524 55.582986
7703,"город Москва, Варшавское шоссе, дом 160",37.59524 55.582986
7704,"город Москва, Варшавское шоссе, дом 160",37.59524 55.582986
7705,"город Москва, Каширское шоссе, дом 26",37.64613 55.653314
7706,"город Москва, Каширское шоссе, дом 26",37.64613 55.653314
7707,"город Москва, Каширское шоссе, дом 26",37.64613 55.653314
7708,"город Москва, Каширское шоссе, дом 26",37.64613 55.653314
7709,"город Москва, Каширское шоссе, дом 26",37.64613 55.653314
7710,"город Москва, Каширское шоссе, дом 26",37.64613 55.653314
7711,"город Москва, Каширское шоссе, дом 26",37.64613 55.653314
7712,"город Москва, Каширское шоссе, дом 26",37.64613 55.653314
7753,"город Москва, Варшавское шоссе, дом 14, строение 1",37.619755 55.696017
7754,"город Москва, Варшавское шоссе, дом 14, строение 1",37.619755 55.696017
7758,"город Москва, Варшавское шоссе, дом 9, строение 1Б",37.623681 55.70003
7759,"город Москва, Варшавское шоссе, дом 9, строение 1Б",37.623681 55.70003
7760,"город Москва, Варшавское шоссе, дом 9, строение 1Б",37.623681 55.70003
7761,"город Москва, Варшавское шоссе, дом 1",37.623313 55.70315
7762,"город Москва, Варшавское шоссе, дом 1",37.623313 55.70315
7763,"город Москва, Варшавское шоссе, дом 1",37.623313 55.70315
7764,"город Москва, Варшавское шоссе, дом 1",37.623313 55.70315
7765,"город Москва, Варшавское шоссе, дом 1",37.623313 55.70315
7766,"город Москва, Варшавское шоссе, дом 1",37.623313 55.70315
7767,"город Москва, Варшавское шоссе, дом 1",37.623313 55.70315
7768,"город Москва, Варшавское шоссе, дом 1",37.623313 55.70315
7830,"город Москва, проспект Мира, дом 92, строение 1",37.635754 55.793181
7949,"город Москва, проспект Мира, дом 26, строение 7",37.635754 55.777292
8038,"город Москва, проспект Мира, дом 26, строение 2",37.636401 55.777261
8039,"город Москва, проспект Мира, дом 26, строение 5",37.634416 55.777302
8075,"город Москва, Ленинский проспект, дом 6, строение 7",37.605903 55.727587
8092,"город Москва, проспект Мира, дом 79, строение 2",37.633823 55.791208
8174,"город Москва, Ленинский проспект, дом 2/4",37.608643 55.728935
8192,"город Москва, Ленинский проспект, дом 2, сооружение 1",37.610961 55.729665
8193,"город Москва, Ленинский проспект, дом 2, сооружение 1",37.610961 55.729665
8273,"город Москва, Пресненская набережная, дом 12",37.537425 55.749628
8274,"город Москва, проспект Мира, дом 6",37.632987 55.773322
8277,"город Москва, проспект Мира, дом 75, строение 1",37.634326 55.789775
8287,"город Москва, Пресненская набережная, дом 10",37.537371 55.746593
8288,"город Москва, Пресненская набережная, дом 10",37.537371 55.746593
8289,"город Москва, Пресненская набережная, дом 10",37.537371 55.746593
8290,"город Москва, Пресненская набережная, дом 10",37.537371 55.746593
8295,"город Москва, Пресненская набережная, дом 8, строение 1",37.539078 55.747115
8296,"город Москва, Пресненская набережная, дом 8, строение 1",37.539078 55.747115
8297,"город Москва, Пресненская набережная, дом 8, строение 1",37.539078 55.747115
8298,"город Москва, Пресненская набережная, дом 8, строение 1",37.539078 55.747115
8299,"город Москва, Пресненская набережная, дом 8, строение 1",37.539078 55.747115
8314,"город Москва, проспект Мира, дом 78, сооружение 1",37.635161 55.791258
8341,"город Москва, проспект Мира, дом 14, строение 2",37.63305 55.774963
8423,"город Москва, Пресненская набережная, дом 6, строение 2",37.540245 55.748179
8463,"город Москва, Пресненская набережная, дом 2",37.539742 55.749157
8464,"город Москва, Пресненская набережная, дом 2",37.539742 55.749157
8465,"город Москва, Пресненская набережная, дом 2",37.539742 55.749157
8466,"город Москва, Пресненская набережная, дом 2",37.539742 55.749157
8467,"город Москва, Пресненская набережная, дом 2",37.539742 55.749157
8468,"город Москва, Пресненская набережная, дом 2, сооружение 1",37.539742 55.749157
8469,"город Москва, Пресненская набережная, дом 2",37.539742 55.749157
8470,"город Москва, Пресненская набережная, дом 2",37.539742 55.749157
8471,"город Москва, Пресненская набережная, дом 2",37.539742 55.749157
8472,"город Москва, Пресненская набережная, дом 2",37.539742 55.749157
8473,"город Москва, Пресненская набережная, дом 2",37.539742 55.749157
8474,"город Москва, Пресненская набережная, дом 2",37.539742 55.749157
8475,"город Москва, Пресненская набережная, дом 2",37.539742 55.749157
8476,"город Москва, Пресненская набережная, дом 2",37.539742 55.749157
8477,"город Москва, Пресненская набережная, дом 2",37.539742 55.749157
8478,"город Москва, Пресненская набережная, дом 2",37.539742 55.749157
8479,"город Москва, Пресненская набережная, дом 2",37.539742 55.749157
8480,"город Москва, Пресненская набережная, дом 2",37.539742 55.749157
8684,"город Москва, проспект Вернадского, дом 86А",37.480993 55.663019
8685,"город Москва, проспект Вернадского, дом 86А",37.480993 55.663019
8686,"город Москва, проспект Вернадского, дом 86А",37.480993 55.663019
8687,"город Москва, проспект Вернадского, дом 86А",37.480993 55.663019
8688,"город Москва, проспект Вернадского, дом 86А",37.480993 55.663019
8689,"город Москва, проспект Вернадского, дом 86А",37.480993 55.663019
8690,"город Москва, проспект Вернадского, дом 86А",37.480993 55.663019
8691,"город Москва, проспект Вернадского, дом 86А",37.480993 55.663019
8692,"город Москва, проспект Вернадского, дом 86А",37.480993 55.663019
8693,"город Москва, проспект Вернадского, дом 86А",37.480993 55.663019
8695,"город Москва, Кутузовский проспект, дом 57",37.476169 55.727927
8696,"город Москва, Кутузовский проспект, дом 57",37.476169 55.727927
8697,"город Москва, Кутузовский проспект, дом 57",37.476169 55.727927
8698,"город Москва, Кутузовский проспект, дом 57",37.476169 55.727927
8699,"город Москва, Кутузовский проспект, дом 57",37.476169 55.727927
8700,"город Москва, Кутузовский проспект, дом 57",37.476169 55.727927
8701,"город Москва, Кутузовский проспект, дом 57",37.476169 55.727927
8702,"город Москва, Кутузовский проспект, дом 57",37.476169 55.727927
8703,"город Москва, Кутузовский проспект, дом 57",37.476169 55.727927
8704,"город Москва, Кутузовский проспект, дом 57",37.476169 55.727927
8705,"город Москва, Кутузовский проспект, дом 57",37.476169 55.727927
8706,"город Москва, Кутузовский проспект, дом 57",37.476169 55.727927
8707,"город Москва, Кутузовский проспект, дом 57",37.476169 55.727927
8708,"город Москва, Кутузовский проспект, дом 57",37.476169 55.727927
8709,"город Москва, Кутузовский проспект, дом 57",37.476169 55.727927
8710,"город Москва, Кутузовский проспект, дом 57",37.476169 55.727927
8711,"город Москва, Кутузовский проспект, дом 57",37.476169 55.727927
8785,"город Москва, Ленинский проспект, дом 95",37.525863 55.673976
8810,"город Москва, Кутузовский проспект, дом 36, строение 3",37.526286 55.740026
8843,"Ленинский проспект, владение 164",37.468775 55.644064
8855,"город Москва, Варшавское шоссе, дом 143А",37.599148 55.583953
8897,"Варшавское шоссе, владение 99А",37.620636 55.632713
8908,"город Москва, Профсоюзная улица, дом 56",37.55248 55.670021
8909,"город Москва, проспект Мира, дом 114Б, строение 2",37.638 55.808225
8914,"город Москва, Кутузовский проспект, дом 57",37.476169 55.727927
8915,"город Москва, проспект Вернадского, дом 86Б",37.481469 55.661684
8919,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
8921,"город Москва, проспект Мира, дом 92, строение 2",37.636356 55.793227
8926,"город Москва, Кутузовский проспект, дом 17",37.556864 55.746922
8927,"город Москва, Ленинградский проспект, дом 66",37.526007 55.802755
8971,"город Москва, Варшавское шоссе, дом 28А",37.617941 55.682803
8981,"город Москва, проспект Мира, дом 146",37.642734 55.820855
8994,"город Москва, проспект Мира, дом 112",37.637847 55.805943
8997,"город Москва, проспект Вернадского, дом 111",37.482735 55.660272
9009,"город Москва, Ленинский проспект, дом 67",37.552732 55.691516
9015,"город Москва, проспект Мира, дом 45",37.633688 55.782547
9064,"город Москва, проспект Вернадского, дом 84, строение 1",37.478603 55.665137
9068,"город Москва, проспект Вернадского, дом 86, строение 2",37.476088 55.660963
9069,"город Москва, проспект Вернадского, дом 78, строение 8",37.479088 55.672372
9089,"город Москва, проспект Мира, дом 26, строение 1",37.633068 55.77796
9094,"город Москва, проспект Мира, дом 68, строение 3",37.635817 55.78727
9099,"город Москва, проспект Вернадского, дом 100, корпус ЗОНА, строение С-1",37.471524 55.649992
9132,"город Москва, проспект Вернадского, дом 88",37.476052 55.657931
9145,"город Москва, Ленинградский проспект, дом 37А, строение 32",37.552453 55.790757
9149,"город Москва, Ленинградский проспект, дом 75Г, строение 1",37.512766 55.803282
9164,"город Москва, Каширское шоссе, владение 25Б",37.647998 55.656265
9165,"город Москва, Каширское шоссе, владение 25Б",37.647998 55.656265
9166,"город Москва, Каширское шоссе, владение 25Б, строение 10",37.648573 55.655696
9170,"город Москва, Варшавское шоссе, дом 118, корпус 1",37.618022 55.631768
9173,"город Москва, Каширское шоссе, дом 14",37.627193 55.663745
9186,"город Москва, Пресненская набережная, дом 6, строение 2",37.540245 55.748179
9200,"город Москва, проспект Мира, дом 188Б, корпус 2",37.658338 55.835008
9220,"город Москва, проспект Мира, дом 36, строение 1",37.633347 55.779287
9240,"город Москва, проспект Мира, дом 39, строение 2",37.631847 55.78116
9241,"город Москва, Ленинградский проспект, дом 75, корпус 1Б",37.510502 55.804825
9261,"город Москва, Варшавское шоссе, дом 7, корпус 1",37.622405 55.700877
9291,"город Москва, Профсоюзная улица, дом 76",37.54356 55.66076
9293,"город Москва, Пресненская набережная, дом 10",37.537371 55.746593
9296,"город Москва, Кутузовский проспект, дом 12, строение 2",37.557664 55.750631
9297,"город Москва, Пресненская набережная, дом 4, строение 1",37.54294 55.748924
9298,"город Москва, Пресненская набережная, дом 4, строение 1",37.54294 55.748924
9299,"город Москва, Пресненская набережная, дом 4, строение 1",37.54294 55.748924
9300,"город Москва, Пресненская набережная, дом 4, строение 1",37.54294 55.748924
9301,"город Москва, Пресненская набережная, дом 4, строение 1",37.54294 55.748924
9302,"город Москва, Пресненская набережная, дом 4, строение 1",37.54294 55.748924
9307,"город Москва, Пресненская набережная, дом 2, сооружение 1",37.539742 55.749157
9308,"город Москва, Пресненская набережная, дом 2, сооружение 1",37.539742 55.749157
9313,"город Москва, Пресненская набережная, дом 6, строение 2",37.540245 55.748179
9317,"город Москва, проспект Мира, дом 12, строение 1",37.632637 55.774639
9319,"город Москва, Пресненская набережная, дом 8, строение 1",37.539078 55.747115
9320,"город Москва, Пресненская набережная, дом 8, строение 1",37.539078 55.747115
9321,"город Москва, Пресненская набережная, дом 8, строение 1",37.539078 55.747115
9322,"город Москва, Пресненская набережная, дом 8, строение 1",37.539078 55.747115
9323,"город Москва, Пресненская набережная, дом 8, строение 1",37.539078 55.747115
9324,"город Москва, Пресненская набережная, дом 8, строение 1",37.539078 55.747115
9325,"город Москва, Пресненская набережная, дом 8, строение 1",37.539078 55.747115
9326,"город Москва, Пресненская набережная, дом 8, строение 1",37.539078 55.747115
9327,"город Москва, Пресненская набережная, дом 8, строение 1",37.539078 55.747115
9328,"город Москва, Пресненская набережная, дом 8, строение 1",37.539078 55.747115
9332,"город Москва, проспект Вернадского, дом 94, корпус 8",37.476402 55.652674
9336,"город Москва, проспект Мира, дом 79",37.634182 55.790975
9337,"город Москва, проспект Мира, дом 74, строение 1",37.635224 55.789699
9341,"город Москва, Пресненская набережная, дом 10",37.537371 55.746593
9342,"город Москва, Пресненская набережная, дом 10",37.537371 55.746593
9343,"город Москва, Пресненская набережная, дом 10",37.537371 55.746593
9344,"город Москва, Пресненская набережная, дом 10",37.537371 55.746593
9345,"город Москва, Пресненская набережная, дом 10",37.537371 55.746593
9346,"город Москва, Пресненская набережная, дом 10",37.537371 55.746593
9347,"город Москва, Пресненская набережная, дом 10",37.537371 55.746593
9348,"город Москва, Пресненская набережная, дом 10",37.537371 55.746593
9349,"город Москва, Пресненская набережная, дом 10",37.537371 55.746593
9350,"город Москва, Пресненская набережная, дом 10",37.537371 55.746593
