Column1,Unnamed: 0,address,districts
59,567,"город Москва, Ленинградский проспект, дом 78, корпус 1","Россия, Москва, Северный административный округ, район Аэропорт"
60,582,"город Москва, Ленинский проспект, дом 2А","Россия, Москва, Центральный административный округ, район Якиманка"
61,583,"город Москва, Ленинский проспект, дом 11, строение 1","Россия, Москва, Центральный административный округ, район Якиманка"
62,584,"город Москва, Ленинский проспект, дом 13","Россия, Москва, Центральный административный округ, район Якиманка"
63,585,"город Москва, Ленинский проспект, дом 28","Россия, Москва, Южный административный округ, Донской район"
64,586,"город Москва, Ленинский проспект, дом 34/1","Россия, Москва, Юго-Западный административный округ, Гагаринский район"
65,587,"город Москва, Ленинский проспект, дом 37","Россия, Москва, Южный административный округ, Донской район"
66,588,"город Москва, Ленинский проспект, дом 37","Россия, Москва, Южный административный округ, Донской район"
67,589,"город Москва, Ленинский проспект, дом 37","Россия, Москва, Южный административный округ, Донской район"
68,590,"город Москва, Ленинский проспект, дом 37","Россия, Москва, Южный административный округ, Донской район"
69,591,"город Москва, Ленинский проспект, дом 37А","Россия, Москва, Южный административный округ, Донской район"
70,593,"город Москва, Ленинский проспект, дом 43","Россия, Москва, Юго-Западный административный округ, Гагаринский район"
71,594,"город Москва, Ленинский проспект, дом 57","Россия, Москва, Юго-Западный административный округ, Гагаринский район"
72,595,"город Москва, Ленинский проспект, дом 57","Россия, Москва, Юго-Западный административный округ, Гагаринский район"
73,596,"город Москва, Ленинский проспект, дом 61/1","Россия, Москва, Юго-Западный административный округ, Гагаринский район"
74,597,"город Москва, Ленинский проспект, дом 68/10","Россия, Москва, Юго-Западный административный округ, Гагаринский район"
75,598,"город Москва, Ленинский проспект, дом 68/10","Россия, Москва, Юго-Западный административный округ, Гагаринский район"
76,599,"город Москва, Ленинский проспект, дом 68/10","Россия, Москва, Юго-Западный административный округ, Гагаринский район"
77,600,"город Москва, Ленинский проспект, дом 68/10","Россия, Москва, Юго-Западный административный округ, Гагаринский район"
78,601,"город Москва, Ленинский проспект, дом 68/10","Россия, Москва, Юго-Западный административный округ, Гагаринский район"
79,602,"город Москва, Ленинский проспект, дом 82/2","Россия, Москва, Юго-Западный административный округ, Ломоносовский район"
80,603,"город Москва, Ленинский проспект, дом 87","Россия, Москва, Юго-Западный административный округ, Ломоносовский район"
81,604,"город Москва, Ленинский проспект, дом 91","Россия, Москва, Юго-Западный административный округ, Ломоносовский район, 16-й квартал"
82,605,"город Москва, Ленинский проспект, дом 95","Россия, Москва, Юго-Западный административный округ, Ломоносовский район, 16-й квартал"
83,606,"город Москва, Ленинский проспект, дом 99","Россия, Москва, Юго-Западный административный округ, Обручевский район, 37-й квартал"
84,607,"город Москва, Ленинский проспект, дом 99","Россия, Москва, Юго-Западный административный округ, Обручевский район, 37-й квартал"
85,608,"город Москва, Ленинский проспект, дом 148","Россия, Москва, Западный административный округ, район Тропарёво-Никулино"
86,681,"город Москва, проспект Мира, дом 5, корпус 1","Россия, Москва, Центральный административный округ, Мещанский район"
87,682,"город Москва, проспект Мира, дом 29","Россия, Москва, Центральный административный округ, Мещанский район"
88,683,"город Москва, проспект Мира, дом 29","Россия, Москва, Центральный административный округ, Мещанский район"
89,684,"город Москва, проспект Мира, дом 31","Россия, Москва, Центральный административный округ, Мещанский район"
90,685,"город Москва, проспект Мира, дом 40","Россия, Москва, Центральный административный округ, Мещанский район"
91,686,"город Москва, проспект Мира, дом 47, строение 1","Россия, Москва, Центральный административный округ, Мещанский район"
92,687,"город Москва, проспект Мира, дом 48, строение 6","Россия, Москва, Центральный административный округ, Мещанский район"
93,688,"город Москва, проспект Мира, дом 49","Россия, Москва, Центральный административный округ, Мещанский район"
94,689,"город Москва, проспект Мира, дом 49","Россия, Москва, Центральный административный округ, Мещанский район"
95,690,"город Москва, проспект Мира, дом 54","Россия, Москва, Центральный административный округ, Мещанский район"
96,691,"город Москва, проспект Мира, дом 56, строение 2","Россия, Москва, Центральный административный округ, Мещанский район"
97,692,"город Москва, проспект Мира, дом 58","Россия, Москва, Центральный административный округ, Мещанский район"
98,693,"город Москва, проспект Мира, дом 70","Россия, Москва, Центральный административный округ, Мещанский район"
99,694,"город Москва, проспект Мира, дом 77, корпус 1","Россия, Москва, Центральный административный округ, Мещанский район"
100,695,"город Москва, проспект Мира, дом 77, корпус 2","Россия, Москва, Центральный административный округ, Мещанский район"
101,696,"город Москва, проспект Мира, дом 91, корпус 1","Россия, Москва, Северо-Восточный административный округ, Останкинский район"
102,697,"город Москва, проспект Мира, дом 91, корпус 3","Россия, Москва, Северо-Восточный административный округ, Останкинский район"
103,698,"город Москва, проспект Мира, дом 97","Россия, Москва, Северо-Восточный административный округ, Останкинский район"
104,699,"город Москва, проспект Мира, дом 97","Россия, Москва, Северо-Восточный административный округ, Останкинский район"
105,700,"город Москва, проспект Мира, дом 97","Россия, Москва, Северо-Восточный административный округ, Останкинский район"
106,701,"город Москва, проспект Мира, дом 112","Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
107,702,"город Москва, проспект Мира, дом 114Б","Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
108,703,"город Москва, проспект Мира, дом 116","Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
109,704,"город Москва, проспект Мира, дом 118","Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
110,705,"город Москва, проспект Мира, дом 118","Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
111,706,"город Москва, проспект Мира, дом 118","Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
112,707,"город Москва, проспект Мира, дом 120","Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
113,708,"город Москва, проспект Мира, дом 124, корпус 4","Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
114,709,"город Москва, проспект Мира, дом 180","Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
115,710,"город Москва, проспект Мира, дом 186, корпус 1","Россия, Москва, Северо-Восточный административный округ, Алексеевский район"
116,938,"город Москва, Профсоюзная улица, дом 2/22","Россия, Москва, Юго-Западный административный округ, Академический район"
117,939,"город Москва, Профсоюзная улица, дом 9","Россия, Москва, Юго-Западный административный округ, Академический район"
118,940,"город Москва, Профсоюзная улица, дом 13/12","Россия, Москва, Юго-Западный административный округ, Академический район"
119,941,"город Москва, Профсоюзная улица, дом 15","Россия, Москва, Юго-Западный административный округ, Академический район"
120,942,"город Москва, Профсоюзная улица, дом 16/10","Россия, Москва, Юго-Западный административный округ, Академический район"
